accession	record_class	length_bp	n_ambiguous	strand_vs_reference	n_anchor_chains	ref_span_start	ref_span_end	genes_covered	n_guides_scored
AY240695.1	subgenomic	1859	60	+	1	136680	138510		0
AY240696.1	subgenomic	1859	60	+	1	136680	138510		0
AY240697.1	subgenomic	1859	60	+	1	136680	138510		0
AY240698.1	subgenomic	1859	60	+	1	136680	138510		0
AY240699.1	subgenomic	1859	60	+	1	136680	138510		0
AY240700.1	subgenomic	1859	60	+	1	136680	138510		0
AY240701.1	subgenomic	1859	60	+	1	136680	138510		0
AY240702.1	subgenomic	1859	60	+	1	136680	138510		0
AY240703.1	subgenomic	1859	60	+	1	136680	138510		0
AY240704.1	subgenomic	1859	60	+	1	136680	138510		0
AY240705.1	subgenomic	1859	60	+	1	136680	138510		0
AY240706.1	subgenomic	1859	60	+	1	136680	138510		0
AY240707.1	subgenomic	1856	60	+	1	136680	138509		0
AY240708.1	subgenomic	1859	60	+	1	136680	138510		0
AY240709.1	subgenomic	1859	60	+	1	136680	138510		0
AY240710.1	subgenomic	1859	60	+	1	136680	138510		0
AY240711.1	subgenomic	1859	60	+	1	136680	138510		0
AY240712.1	subgenomic	1865	60	+	1	136680	138508		0
AY240713.1	subgenomic	1859	60	+	1	136680	138510		0
AY240714.1	subgenomic	1862	60	+	1	136680	138507		0
AY240715.1	subgenomic	1862	60	+	1	136680	138507		0
AY240716.1	subgenomic	1859	60	+	1	136680	138510		0
AY240717.1	subgenomic	1856	60	+	1	136680	138509		0
AY240718.1	subgenomic	1862	60	+	1	136680	138507		0
AY240719.1	subgenomic	1859	60	+	1	136724	138510		0
AY240720.1	subgenomic	1859	60	+	1	136680	138510		0
AY240721.1	subgenomic	1859	60	+	1	136724	138510		0
AY240722.1	subgenomic	1859	60	+	1	136680	138510		0
AY240723.1	subgenomic	1859	60	+	1	136680	138510		0
AY240724.1	subgenomic	1859	60	+	1	136680	138510		0
AY240725.1	subgenomic	1862	60	+	1	136680	138507		0
AY240726.1	subgenomic	1859	60	+	1	136724	138510		0
AY240727.1	subgenomic	1859	60	+	1	136680	138510		0
AY240728.1	subgenomic	1859	60	+	1	136680	138510		0
AY240729.1	subgenomic	1856	60	+	1	136680	138509		0
AY240730.1	subgenomic	1859	60	+	1	136680	138510		0
AY240731.1	subgenomic	1859	60	+	1	136680	138510		0
AY240732.1	subgenomic	1859	60	+	1	136680	138510		0
AY240733.1	subgenomic	1856	60	+	1	136680	138509		0
AY240734.1	subgenomic	1859	60	+	1	136680	138510		0
AY240735.1	subgenomic	1856	60	+	1	136680	138509		0
AY240736.1	subgenomic	1859	60	+	1	136680	138510		0
AY240737.1	subgenomic	1859	60	+	1	136680	138510		0
AY240738.1	subgenomic	1856	60	+	1	136680	138509		0
AY240739.1	subgenomic	1859	60	+	1	136680	138510		0
AY240740.1	subgenomic	1859	60	+	1	136680	138510		0
AY240741.1	subgenomic	1856	60	+	1	136680	138509		0
AY240742.1	subgenomic	1859	60	+	1	136680	138510		0
AY240743.1	subgenomic	1856	60	+	1	136680	138509		0
AY240744.1	subgenomic	1859	60	+	1	136680	138510		0
AY240745.1	subgenomic	1859	60	+	1	136680	138510		0
AY240746.1	subgenomic	1859	60	+	1	136680	138510		0
AY240747.1	subgenomic	1859	60	+	1	136680	138510		0
AY240748.1	subgenomic	1856	60	+	1	136680	138509		0
AY240749.1	subgenomic	1856	60	+	1	136680	138509		0
AY240750.1	subgenomic	1856	60	+	1	136680	138509		0
AY240751.1	subgenomic	1862	60	+	1	136688	138507		0
AY240752.1	subgenomic	1859	60	+	1	136680	138510		0
AY240753.1	subgenomic	1859	60	+	1	136680	138510		0
AY240754.1	subgenomic	1859	60	+	1	136724	138510		0
AY240755.1	subgenomic	1856	60	+	1	136680	138509		0
AY240756.1	subgenomic	1859	60	+	1	136724	138510		0
AY240757.1	subgenomic	1859	60	+	1	136680	138510		0
AY240758.1	subgenomic	1862	60	+	1	136680	138507		0
AY240759.1	subgenomic	1859	60	+	1	136680	138510		0
AY240760.1	subgenomic	1856	60	+	1	136680	138509		0
AY240761.1	subgenomic	1859	60	+	1	136680	138510		0
AY240762.1	subgenomic	1856	60	+	1	136680	138509		0
AY240763.1	subgenomic	1856	60	+	1	136680	138509		0
AY240764.1	subgenomic	1856	60	+	1	136680	138509		0
AY240765.1	subgenomic	1862	60	+	1	136680	138507		0
AY240766.1	subgenomic	1856	60	+	1	136680	138509		0
AY240767.1	subgenomic	1856	60	+	1	136680	138509		0
AY240768.1	subgenomic	1856	60	+	1	136680	138509		0
AY240769.1	subgenomic	1862	60	+	1	136680	138507		0
AY240770.1	subgenomic	1859	60	+	1	136680	138510		0
AY240771.1	subgenomic	1859	60	+	1	136680	138510		0
AY240772.1	subgenomic	1861	60	+	1	136680	138508		0
AY240773.1	subgenomic	1859	60	+	1	136680	138510		0
AY240774.1	subgenomic	1856	60	+	1	136680	138509		0
AY240775.1	subgenomic	1859	60	+	1	136680	138510		0
AY240776.1	subgenomic	1859	60	+	1	136680	138510		0
AY240777.1	subgenomic	1856	60	+	1	136680	138509		0
AY240778.1	subgenomic	1859	60	+	1	136680	138510		0
AY240779.1	subgenomic	1859	60	+	1	136680	138510		0
AY240780.1	subgenomic	1856	60	+	1	136680	138509		0
AY240781.1	subgenomic	1856	60	+	1	136680	138509		0
AY240782.1	subgenomic	1862	60	+	1	136680	138507		0
AY240783.1	subgenomic	1856	60	+	1	136680	138509		0
AY240784.1	subgenomic	1856	60	+	1	136680	138509		0
AY240785.1	subgenomic	1856	60	+	1	136680	138509		0
AY240786.1	subgenomic	1854	60	+	1	136680	138507		0
AY240787.1	subgenomic	1856	60	+	1	136680	138509		0
AY240788.1	subgenomic	1858	60	+	1	136681	138507		0
AY240789.1	subgenomic	1856	60	+	1	136668	138509		0
AY240790.1	subgenomic	1856	60	+	1	136668	138509		0
AY240791.1	subgenomic	1855	60	+	1	136692	138510		0
AY240792.1	subgenomic	1859	60	+	1	136680	138510		0
AY240793.1	subgenomic	1856	60	+	1	136668	138509		0
AY240794.1	subgenomic	1856	60	+	1	136668	138509		0
AY240795.1	subgenomic	1856	60	+	1	136680	138509		0
AY240796.1	subgenomic	1856	60	+	1	136680	138509		0
AY240797.1	subgenomic	1856	60	+	1	136680	138509		0
AY240798.1	subgenomic	1855	60	+	1	136680	138510		0
AY240799.1	subgenomic	1854	60	+	1	136680	138507		0
AY240800.1	subgenomic	1856	60	+	1	136680	138509		0
AY240801.1	subgenomic	1856	60	+	1	136668	138509		0
AY240802.1	subgenomic	1856	60	+	1	136680	138509		0
AY240803.1	subgenomic	1856	60	+	1	136680	138509		0
AY240804.1	subgenomic	1856	60	+	1	136680	138509		0
AY240805.1	subgenomic	1856	60	+	1	136668	138509		0
AY240806.1	subgenomic	1856	60	+	1	136680	138509		0
AY240807.1	subgenomic	1856	60	+	1	136680	138509		0
AY240808.1	subgenomic	1856	60	+	1	136680	138509		0
AY240809.1	subgenomic	1856	60	+	1	136680	138509		0
AY240810.1	subgenomic	1856	60	+	1	136680	138509		0
AY240811.1	subgenomic	1856	60	+	1	136668	138509		0
AY240812.1	subgenomic	1856	60	+	1	136680	138509		0
AY240813.1	subgenomic	1856	60	+	1	136680	138509		0
AY240814.1	subgenomic	1856	60	+	1	136668	138509		0
AY240815.1	subgenomic	1856	60	+	1	136680	138509		0
AY240816.1	subgenomic	1859	60	+	1	136680	138510		0
AY240817.1	subgenomic	1859	60	+	1	136680	138510		0
AY240818.1	subgenomic	1856	60	+	1	136680	138509		0
AY240819.1	subgenomic	1856	60	+	1	136680	138509		0
AY240820.1	subgenomic	1856	60	+	1	136668	138509		0
AY240821.1	subgenomic	1856	60	+	1	136680	138509		0
AY240822.1	subgenomic	1856	60	+	1	136680	138509		0
AY240823.1	subgenomic	1856	60	+	1	136668	138509		0
AY240824.1	subgenomic	1856	60	+	1	136728	138509		0
AY240825.1	subgenomic	1852	60	+	1	136680	138509		0
AY240826.1	subgenomic	1853	60	+	1	136680	138508		0
AY240827.1	subgenomic	1859	60	+	1	136680	138510		0
AY240828.1	subgenomic	1853	60	+	1	136680	138508		0
AY240829.1	subgenomic	1852	60	+	1	136680	138509		0
AY240830.1	subgenomic	1856	60	+	1	136680	138509		0
AY240831.1	subgenomic	1858	60	+	1	136680	138507		0
AY240832.1	subgenomic	1856	60	+	1	136680	138509		0
AY240833.1	subgenomic	1859	60	+	1	136680	138510		0
AY240834.1	subgenomic	1859	60	+	1	136680	138510		0
AY240835.1	subgenomic	1852	60	+	1	136680	138509		0
AY240836.1	subgenomic	1859	60	+	1	136680	138510		0
AY240837.1	subgenomic	1852	60	+	1	136680	138509		0
AY240838.1	subgenomic	1859	60	+	1	136680	138510		0
AY326452.1	subgenomic	1472	0	+	1	45056	46500		0
AY326453.1	subgenomic	502	0	+	1	48134	48634		0
AY344654.1	subgenomic	4180	0	+	3	131537	134895		0
AY426827.1	subgenomic	1131	0	-	1	46673	47785		0
AY426828.1	subgenomic	1131	0	-	1	46673	47785		0
AY575216.1	subgenomic	1131	0	-	1	46673	47801		0
AY575217.1	subgenomic	1131	0	-	1	46673	47801		0
AY575218.1	subgenomic	1131	0	-	1	46681	47777		0
AY575219.1	subgenomic	1132	0	-	1	46681	47776		0
AY575220.1	subgenomic	1131	0	-	1	46681	47785		0
AY575221.1	subgenomic	1132	0	-	1	46681	47784		0
AY575222.1	subgenomic	1130	0	-	1	46673	47786		0
AY575223.1	subgenomic	1131	0	-	1	46673	47785		0
AY575224.1	subgenomic	1131	0	-	1	46681	47785		0
AY575225.1	subgenomic	1131	0	-	1	46673	47777		0
AY575226.1	subgenomic	1130	0	-	1	46673	47778		0
AY575227.1	subgenomic	1132	0	-	1	46673	47800		0
AY575228.1	subgenomic	1131	0	-	1	46673	47801		0
AY575229.1	subgenomic	1132	0	-	1	46673	47800		0
AY575230.1	subgenomic	1131	0	-	1	46681	47785		0
AY575231.1	subgenomic	1130	0	-	1	46681	47786		0
AY575232.1	subgenomic	1131	0	-	1	46681	47785		0
AY575233.1	subgenomic	1131	0	-	1	46673	47801		0
AY575234.2	subgenomic	1131	0	-	1	46673	47801		0
AY575235.1	subgenomic	1131	0	-	1	46681	47785		0
AY575236.2	subgenomic	1132	0	-	1	46681	47784		0
AY602769.1	subgenomic	906	0	-	1	105487	106391		0
AY705985.1	subgenomic	178	0	-	1	65275	65451	UL30	30
AY730706.1	subgenomic	1155	0	+	1	10614	11769		0
AY832929.1	subgenomic	450	0	-	1	144766	145250		0
AY850638.1	subgenomic	1152	0	+	1	139789	140958		0
D00304.1	subgenomic	498	0	-	1	45610	46054		0
D00373.1	subgenomic	3164	0	+	1	8662	11821		0
DQ073426.1	subgenomic	1145	0	+	1	10629	11771		0
DQ889502.1	subgenomic	131774	300	+	22	9198	145672	RL2|UL19|UL29|UL30|UL5|UL52|UL54	4640
EF157309.1	subgenomic	2715	0	-	1	53081	55773		0
EF157310.1	subgenomic	2715	0	-	1	53081	55773		0
EF157311.1	subgenomic	2715	0	-	1	53081	55773		0
EF157312.1	subgenomic	1536	0	+	1	96312	97844		0
EF157313.1	subgenomic	1284	0	+	2	96312	97844		0
EF157314.1	subgenomic	1535	0	+	1	96312	97845		0
EF157315.1	subgenomic	1535	0	+	1	96312	97845		0
EF157316.1	subgenomic	2715	0	-	1	53081	55773		0
EF157317.1	subgenomic	1536	0	+	1	96312	97844		0
EF157318.1	subgenomic	1536	0	+	1	96312	97844		0
EF157319.1	subgenomic	1185	0	+	1	138423	139607		0
EF157320.1	subgenomic	1185	0	+	1	138423	139607		0
EF157321.1	subgenomic	1185	0	+	1	138423	139607		0
EF157322.1	subgenomic	1185	0	+	1	138423	139607		0
EF157323.1	subgenomic	1017	0	+	1	112180	113196	UL52	4
EF157324.1	subgenomic	1017	0	+	1	112180	113196	UL52	4
EF157325.1	subgenomic	1017	0	+	1	112180	113196	UL52	4
EF157326.1	subgenomic	1017	0	+	1	112180	113196	UL52	4
EF177450.1	subgenomic	1185	0	+	1	138423	139607		0
EF177451.1	subgenomic	1185	0	+	1	138423	139607		0
EF177452.1	subgenomic	2715	0	-	1	53081	55773		0
EF177453.1	subgenomic	2715	0	-	1	53081	55773		0
EF177454.1	subgenomic	2700	0	-	1	53081	55765		0
EF177455.1	subgenomic	2700	0	-	1	53081	55765		0
EF376300.1	subgenomic	126	0	+	1	136974	137098		0
EF376301.1	subgenomic	126	0	+	1	136978	137098		0
EF376302.1	subgenomic	129	0	+	1	136983	137067		0
EF376303.1	subgenomic	126	0	+	1	136978	137098		0
EF376304.1	subgenomic	120	0	+	1	137016	137068		0
EF376305.1	subgenomic	120	0	+	1	137016	137068		0
EF376306.1	subgenomic	126	0	+	1	136978	137066		0
EF376307.1	subgenomic	126	0	+	1	136978	137086		0
EF376308.1	subgenomic	129	0	+	1	136983	137067		0
EF376309.1	subgenomic	126	0	+	1	136978	137098		0
EF376310.1	subgenomic	126	0	+	1	136978	137098		0
EF376311.1	subgenomic	129	0	+	1	136983	137067		0
EF376312.1	subgenomic	126	0	+	1	136974	137098		0
EF376313.1	subgenomic	126	0	+	1	136978	137098		0
EF376314.1	subgenomic	129	0	+	1	136983	137067		0
EF376315.1	subgenomic	129	0	+	1	136983	137067		0
EF376316.1	subgenomic	129	0	+	1	136983	137067		0
EF376317.1	subgenomic	126	0	+	1	136978	137098		0
EF376318.1	subgenomic	126	0	+	1	136974	137098		0
EF376319.1	subgenomic	126	0	+	1	136978	137098		0
EF376320.1	subgenomic	126	0	+	1	136978	137066		0
EF376321.1	subgenomic	129	0	+	1	136983	137067		0
EF376322.1	subgenomic	129	0	+	1	136983	137067		0
EF376323.1	subgenomic	126	0	+	1	136978	137098		0
EF376324.1	subgenomic	129	0	+	1	136983	137067		0
EF376325.1	subgenomic	126	0	+	1	136978	137098		0
EF376326.1	subgenomic	126	0	+	1	136978	137098		0
EF376327.1	subgenomic	129	0	+	1	136983	137067		0
EF376328.1	subgenomic	126	0	+	1	136978	137098		0
EF376329.1	subgenomic	126	0	+	1	136974	137098		0
EF376330.1	subgenomic	126	0	+	1	136978	137098		0
EF376331.1	subgenomic	126	0	+	1	136978	137098		0
EF376332.1	subgenomic	129	0	+	1	136983	137067		0
EF376333.1	subgenomic	129	0	+	1	136983	137067		0
EF667506.1	subgenomic	298	0	+	1	146469	146763		0
EU003440.1	subgenomic	198	1	+	1	65333	65453	UL30	22
EU541360.1	subgenomic	1131	0	-	1	46677	47801		0
EU541361.1	subgenomic	1131	0	-	1	46681	47785		0
EU541362.1	subgenomic	1131	0	-	1	46681	47801		0
EU541363.1	subgenomic	1128	0	-	1	46681	47784		0
EU541364.1	subgenomic	1131	0	-	1	46677	47785		0
EU541365.1	subgenomic	1128	0	-	1	46677	47800		0
EU541366.1	subgenomic	1131	0	-	1	46677	47801		0
EU541367.1	subgenomic	1132	0	-	1	46677	47776		0
EU541368.1	subgenomic	1132	0	-	1	46677	47784		0
EU541369.1	subgenomic	1131	0	-	1	46677	47785		0
EU541370.1	subgenomic	1131	0	-	1	46677	47785		0
EU704683.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
EU814922.1	subgenomic	1132	0	-	1	46684	47776		0
FJ455787.1	subgenomic	1194	0	+	3	139789	140960		0
FJ455788.1	subgenomic	1215	1	+	4	139789	140959		0
FJ455789.1	subgenomic	1077	0	+	1	139864	140961		0
FJ455790.1	subgenomic	1152	2	+	1	139789	140958		0
FJ455791.1	subgenomic	1161	1	+	5	139864	140961		0
FJ455792.1	subgenomic	1359	0	+	1	141247	142603		0
FJ455793.1	subgenomic	1359	0	+	1	141247	142603		0
FJ655092.1	subgenomic	1128	0	-	1	46681	47784		0
FJ655093.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655094.1	subgenomic	1131	0	-	1	46681	47785		0
FJ655095.1	subgenomic	1131	0	-	1	46681	47785		0
FJ655096.1	subgenomic	1131	0	-	1	46681	47785		0
FJ655097.1	subgenomic	1130	0	-	1	46681	47786		0
FJ655098.1	subgenomic	1131	0	-	1	46681	47785		0
FJ655099.1	subgenomic	1128	0	-	1	46681	47784		0
FJ655100.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655101.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655102.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655103.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655104.1	subgenomic	1132	0	-	1	46677	47800		0
FJ655105.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655106.1	subgenomic	1131	0	-	1	46681	47785		0
FJ655107.1	subgenomic	1131	0	-	1	46681	47785		0
FJ655108.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655109.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655110.1	subgenomic	1131	0	-	1	46677	47785		0
FJ655111.1	subgenomic	1130	0	-	1	46677	47786		0
FJ655112.1	subgenomic	1131	0	-	1	46677	47777		0
FJ655113.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655114.1	subgenomic	1132	0	-	1	46677	47800		0
FJ655115.1	subgenomic	1130	0	-	1	46677	47781		0
FJ655116.1	subgenomic	1130	0	-	1	46677	47802		0
FJ655117.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655118.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655119.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655120.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655121.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655122.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655123.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655124.1	subgenomic	1132	0	-	1	46677	47800		0
FJ655125.1	subgenomic	1130	0	-	1	46677	47802		0
FJ655126.1	subgenomic	1132	0	-	1	46677	47800		0
FJ655127.1	subgenomic	1132	0	-	1	46677	47800		0
FJ655128.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655129.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655130.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655131.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655132.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655133.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655134.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655135.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655136.1	subgenomic	1132	0	-	1	46677	47800		0
FJ655137.1	subgenomic	1132	0	-	1	46677	47800		0
FJ655138.1	subgenomic	1130	0	-	1	46677	47802		0
FJ655139.1	subgenomic	1132	0	-	1	46677	47800		0
FJ655140.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655141.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655142.1	subgenomic	1131	0	-	1	46677	47801		0
FJ655143.1	subgenomic	1131	0	-	1	46677	47785		0
FJ655144.1	subgenomic	1131	0	-	1	46677	47785		0
FJ655145.1	subgenomic	1131	0	-	1	46677	47785		0
FJ655146.1	subgenomic	1132	0	-	1	46677	47784		0
FJ655147.1	subgenomic	1132	0	-	1	46677	47784		0
FJ655148.1	subgenomic	1131	0	-	1	46677	47785		0
FJ655149.1	subgenomic	1130	0	-	1	46686	47786		0
FJ655150.1	subgenomic	1130	0	-	1	46677	47786		0
FJ655151.1	subgenomic	1131	0	-	1	46677	47785		0
FJ655152.1	subgenomic	1131	0	-	1	46677	47785		0
FJ655153.1	subgenomic	1130	0	-	1	46677	47786		0
FJ655154.1	subgenomic	1131	0	-	1	46677	47785		0
FJ655155.1	subgenomic	1128	0	-	1	46681	47784		0
FJ655156.1	subgenomic	1131	0	-	1	46677	47785		0
FJ655157.1	subgenomic	1131	0	-	1	46677	47777		0
FJ655158.1	subgenomic	1130	0	-	1	46677	47778		0
FJ655159.1	subgenomic	1132	0	-	1	46677	47776		0
FJ655160.1	subgenomic	1131	0	-	1	46677	47777		0
FJ655161.1	subgenomic	1130	0	-	1	46677	47778		0
FJ655162.1	subgenomic	1131	0	-	1	46677	47777		0
FJ711161.1	subgenomic	2112	0	-	1	31399	33495		0
GQ386863.1	subgenomic	1539	0	+	1	113735	115271	UL54	371
GQ898899.1	subgenomic	3748	200	+	4	136755	142895		0
GQ898900.1	subgenomic	3721	200	+	3	136755	142898		0
GQ898901.1	subgenomic	3742	200	+	4	136755	142897		0
GQ999614.1	subgenomic	459	0	-	1	144766	145249		0
GU049668.1	subgenomic	822	0	-	1	105571	106391		0
GU049669.1	subgenomic	1398	0	+	1	84531	85927		0
GU049670.1	subgenomic	957	0	-	1	35096	36052		0
GU479980.1	subgenomic	660	0	-	1	28257	28913		0
HM188403.1	subgenomic	971	0	+	1	142734	143702		0
HM584913.1	subgenomic	1557	0	-	1	26947	28503		0
HQ123046.1	subgenomic	1131	0	-	1	46673	47777		0
HQ123047.1	subgenomic	1131	0	-	1	46673	47801		0
HQ123048.1	subgenomic	1131	0	-	1	46673	47801		0
HQ123049.1	subgenomic	1131	0	-	1	46673	47801		0
HQ123050.1	subgenomic	1131	0	-	1	46673	47777		0
HQ123051.1	subgenomic	1131	0	-	1	46681	47801		0
HQ123052.1	subgenomic	1131	0	-	1	46673	47801		0
HQ123053.1	subgenomic	1131	0	-	1	46673	47785		0
HQ123054.1	subgenomic	1131	0	-	1	46673	47769		0
HQ123055.1	subgenomic	1131	0	-	1	46673	47801		0
HQ123056.1	subgenomic	1131	0	-	1	46673	47785		0
HQ123057.1	subgenomic	1131	0	-	1	46673	47801		0
HQ123058.1	subgenomic	1131	0	-	1	46673	47801		0
HQ123059.1	subgenomic	1131	0	-	1	46673	47801		0
HQ123060.1	subgenomic	1131	0	-	1	46673	47801		0
HQ123061.1	subgenomic	1131	0	-	1	46681	47785		0
HQ123062.1	subgenomic	1131	0	-	1	46673	47777		0
HQ123088.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123089.1	subgenomic	3708	1	+	1	62807	66511	UL30	778
HQ123090.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123091.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123092.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123093.1	subgenomic	3708	0	+	1	62827	66511	UL30	791
HQ123094.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123095.1	subgenomic	3708	1	+	1	62807	66511	UL30	787
HQ123096.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123097.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123098.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123099.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123100.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123101.1	subgenomic	3708	0	+	1	62827	66511	UL30	791
HQ123102.1	subgenomic	3708	0	+	1	62807	66511	UL30	789
HQ123103.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123104.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123144.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123145.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123146.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123147.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123148.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123149.1	subgenomic	3708	0	+	1	62827	66491	UL30	791
HQ123150.1	subgenomic	3708	0	+	1	62807	66483	UL30	794
HQ123151.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123152.1	subgenomic	3708	0	+	1	62827	66511	UL30	791
HQ123153.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
HQ123154.1	subgenomic	1131	1	-	1	46673	47785		0
HQ123155.1	subgenomic	1131	0	-	1	46673	47785		0
HQ123156.1	subgenomic	1131	0	-	1	46673	47801		0
HQ123157.1	subgenomic	1130	0	-	1	46673	47802		0
HQ123158.1	subgenomic	1130	0	-	1	46681	47802		0
HQ123159.1	subgenomic	1132	0	-	1	46681	47800		0
HQ123160.1	subgenomic	1132	0	-	1	46673	47800		0
HQ123161.1	subgenomic	1132	0	-	1	46673	47800		0
HQ123162.1	subgenomic	1132	0	-	1	46673	47800		0
HQ123163.1	subgenomic	1131	1	-	1	46673	47801		0
HQ123178.1	subgenomic	1131	0	-	1	46673	47801		0
HQ123179.1	subgenomic	3708	0	+	1	62827	66511	UL30	791
HQ223416.1	subgenomic	210	0	+	1	138264	138424		0
HQ667768.1	subgenomic	1131	0	-	1	46673	47801		0
HQ667769.1	subgenomic	1131	0	-	1	46677	47801		0
HQ667770.1	subgenomic	1131	0	-	1	46677	47801		0
HQ667771.1	subgenomic	1131	0	-	1	46673	47801		0
HQ667772.1	subgenomic	1131	0	-	1	46677	47801		0
HQ667773.1	subgenomic	1131	0	-	1	46673	47801		0
HQ667774.1	subgenomic	1131	0	-	1	46673	47801		0
HQ667775.1	subgenomic	1131	0	-	1	46677	47801		0
HQ667776.1	subgenomic	1131	0	-	1	46673	47801		0
HQ667777.1	subgenomic	1131	0	-	1	46677	47801		0
HQ667778.1	subgenomic	1131	0	-	1	46673	47801		0
HQ667779.1	subgenomic	1131	0	-	1	46673	47801		0
HQ667780.1	subgenomic	1131	0	-	1	46673	47801		0
HQ667781.1	subgenomic	1131	0	-	1	46673	47801		0
HQ667782.1	subgenomic	1131	0	-	1	46673	47801		0
HQ685966.1	subgenomic	1131	0	-	1	46673	47801		0
HQ685967.1	subgenomic	1131	0	-	1	46673	47801		0
HQ685968.1	subgenomic	1131	0	-	1	46673	47801		0
HQ685969.1	subgenomic	1131	0	-	1	46673	47801		0
HQ685970.1	subgenomic	1131	0	-	1	46677	47801		0
HQ685971.1	subgenomic	1131	0	-	1	46673	47801		0
HQ685972.1	subgenomic	1131	0	-	1	46677	47801		0
HQ685973.1	subgenomic	1131	0	-	1	46677	47801		0
HQ685974.1	subgenomic	1131	0	-	1	46673	47801		0
HQ685975.1	subgenomic	1131	0	-	1	46677	47801		0
HQ685976.1	subgenomic	1131	0	-	1	46673	47801		0
HQ685977.1	subgenomic	1131	0	-	1	46677	47801		0
HQ685978.1	subgenomic	1131	0	-	1	46673	47801		0
HQ685979.1	subgenomic	1131	0	-	1	46673	47801		0
HQ685980.1	subgenomic	1131	0	-	1	46677	47801		0
HQ685981.1	subgenomic	1131	0	-	1	46677	47801		0
HQ685982.1	subgenomic	1131	0	-	1	46673	47801		0
HQ685983.1	subgenomic	1131	0	-	1	46673	47801		0
HQ685984.1	subgenomic	1131	0	-	1	46677	47801		0
HQ685985.1	subgenomic	1131	0	-	1	46677	47801		0
HQ685986.1	subgenomic	1131	0	-	1	46677	47801		0
HQ685987.1	subgenomic	1131	0	-	1	46673	47801		0
HQ685988.1	subgenomic	1131	0	-	1	46677	47801		0
HQ685989.1	subgenomic	1131	0	-	1	46677	47801		0
HQ685990.1	subgenomic	1131	0	-	1	46677	47801		0
HQ685991.1	subgenomic	1131	0	-	1	46677	47801		0
HQ685992.1	subgenomic	1131	0	-	1	46677	47801		0
HQ685993.1	subgenomic	1131	0	-	1	46673	47801		0
HQ685994.1	subgenomic	1131	0	-	1	46673	47801		0
HQ685995.1	subgenomic	1131	0	-	1	46673	47801		0
HQ685996.1	subgenomic	1131	0	-	1	46673	47801		0
HQ685997.2	subgenomic	1189	0	-	1	46615	47803		0
HQ685998.2	subgenomic	1190	0	-	1	46614	47802		0
HQ685999.2	subgenomic	1190	0	-	1	46614	47802		0
HQ686000.2	subgenomic	1191	0	-	1	46617	47801		0
HQ686001.2	subgenomic	1189	0	-	1	46615	47803		0
HQ686002.1	subgenomic	1131	0	-	1	46677	47801		0
HQ686003.1	subgenomic	1131	0	-	1	46677	47801		0
HQ686004.1	subgenomic	1131	0	-	1	46673	47801		0
